Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Elapsed Time.1,Moving Time,Distance.1,Elevation Gain,Average Watts,Max Watts,Weighted Average Power,Average Heart Rate,Max Heart Rate,Average Cadence,Calories,Relative Effort
1000015,"Feb 02, 2024, 12:00:00 AM",Zwift Watopia,Ride,4417,29439.3,4417,4207,29439.3,111.7,129.2,344.7,139.5,142.6,155.8,79.3,640.2,175.5
1000016,"Feb 03, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,9407,68225.9,9407,8959,68225.9,475.0,145.0,568.3,156.6,119.9,163.4,79.0,1483.8,25.9
1000017,"Feb 04, 2024, 12:00:00 AM",Hill Repeats,Virtual Ride,6429,36530.9,6429,6122,36530.9,506.7,194.7,625.5,210.2,145.7,169.9,81.6,794.5,98.3
1000018,"Feb 05, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,3810,28169.9,3810,3629,28169.9,264.7,160.8,584.3,173.7,126.2,165.8,89.6,612.6,136.5
1000019,"Feb 08, 2024, 12:00:00 AM",Commute,Virtual Ride,10773,68192.6,10773,10260,68192.6,1071.6,117.7,333.9,127.1,129.4,172.6,82.0,1483.1,49.8
1000020,"Feb 09, 2024, 12:00:00 AM",River Trail Ride,Ride,9189,55364.8,9189,8752,55364.8,371.4,179.9,465.7,194.3,150.5,172.1,82.8,1204.1,56.2
1000021,"Feb 10, 2024, 12:00:00 AM",Gravel Grind,Ride,22968,143284.4,22968,21875,143284.4,1519.4,156.6,441.8,169.1,129.0,177.0,84.0,3116.1,42.0
1000022,"Feb 11, 2024, 12:00:00 AM",Commute,Ride,3378,22808.1,3378,3217,22808.1,229.3,139.5,388.6,150.7,135.7,176.4,91.3,496.0,108.8
1000023,"Feb 12, 2024, 12:00:00 AM",Morning Loop,Ride,7155,46058.9,7155,6815,46058.9,459.6,139.5,554.8,150.7,137.5,160.5,92.1,1001.7,75.9
1000024,"Feb 13, 2024, 12:00:00 AM",Coffee Shop Ride,Virtual Ride,7345,45959.6,7345,6995,45959.6,699.1,152.0,502.4,164.2,147.4,181.7,86.4,999.5,21.5
1000025,"Feb 14, 2024, 12:00:00 AM",River Trail Ride,Ride,8205,53498.9,8205,7815,53498.9,822.9,149.7,567.5,161.6,125.4,180.4,93.0,1163.5,55.9
1000026,"Feb 15, 2024, 12:00:00 AM",River Trail Ride,Ride,19333,148137.0,19333,18413,148137.0,2203.0,131.2,495.1,141.7,126.4,178.2,92.6,3221.7,155.9
1000027,"Feb 16, 2024, 12:00:00 AM",Morning Loop,Virtual Ride,8829,52884.3,8829,8408,52884.3,481.5,184.3,461.2,199.0,123.6,165.8,90.3,1150.1,121.0
1000028,"Feb 17, 2024, 12:00:00 AM",Recovery Spin,Ride,4323,31157.7,4323,4117,31157.7,235.9,201.1,649.5,217.2,141.1,160.7,84.8,677.6,135.6
1000029,"Feb 18, 2024, 12:00:00 AM",Morning Loop,Ride,3369,19066.7,3369,3208,19066.7,258.2,156.1,403.7,168.6,138.5,177.9,82.3,414.7,81.6
1000030,"Feb 19, 2024, 12:00:00 AM",Recovery Spin,Virtual Ride,7048,51804.3,7048,6712,51804.3,304.4,128.0,355.7,138.3,133.8,177.7,85.6,1126.6,131.4
1000031,"Feb 20, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,3553,21448.6,3553,3384,21448.6,115.3,149.7,383.2,161.7,152.7,172.4,90.2,466.5,132.4
1000032,"Feb 21, 2024, 12:00:00 AM",Gravel Grind,Ride,8757,59004.8,8757,8340,59004.8,471.0,164.8,589.0,178.0,132.8,174.4,86.5,1283.2,166.1
1000033,"Feb 22, 2024, 12:00:00 AM",Zwift Watopia,Ride,6577,45808.1,6577,6264,45808.1,355.7,223.8,873.7,241.7,156.0,179.9,86.4,996.2,74.1
1000034,"Feb 23, 2024, 12:00:00 AM",Recovery Spin,Ride,5757,38764.1,5757,5482,38764.1,198.2,150.1,435.1,162.2,129.7,171.7,81.8,843.0,106.8
1000035,"Feb 27, 2024, 12:00:00 AM",Recovery Spin,Virtual Ride,6795,49670.7,6795,6471,49670.7,651.4,114.9,428.0,124.1,129.3,169.3,94.4,1080.2,54.5
1000036,"Feb 28, 2024, 12:00:00 AM",River Trail Ride,Ride,5022,37836.1,5022,4783,37836.1,210.7,195.0,704.6,210.6,162.1,182.9,90.0,822.9,176.1
1000037,"Feb 29, 2024, 12:00:00 AM",Gravel Grind,Ride,1606,9610.1,1606,1529,9610.1,80.1,151.0,434.4,163.1,134.7,158.6,80.4,209.0,47.7
1000038,"Mar 02, 2024, 12:00:00 AM",Zwift Watopia,Ride,10391,75862.6,10391,9896,75862.6,331.7,153.8,531.4,166.1,120.7,179.6,92.6,1649.9,64.8
1000039,"Mar 03, 2024, 12:00:00 AM",Morning Loop,Virtual Ride,13552,90924.6,13552,12906,90924.6,860.0,168.2,658.8,181.6,131.2,161.8,83.6,1977.4,35.7
1000040,"Mar 05, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,20909,132163.7,20909,19913,132163.7,1468.7,185.1,548.3,199.9,124.5,171.2,73.0,2874.3,118.5
1000041,"Mar 10, 2024, 12:00:00 AM",Long Sunday Ride,Ride,2849,16395.7,2849,2713,16395.7,231.7,145.5,527.2,157.1,134.4,172.5,99.1,356.6,157.0
1000042,"Mar 12, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,2788,20181.7,2788,2655,20181.7,123.8,157.4,567.4,170.0,137.6,172.5,88.9,438.9,112.1
1000043,"Mar 13, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,5217,37788.6,5217,4969,37788.6,576.0,135.9,500.4,146.8,165.3,177.5,85.4,821.8,81.8
1000044,"Mar 14, 2024, 12:00:00 AM",Commute,Ride,5549,40859.4,5549,5285,40859.4,275.3,135.9,506.9,146.7,150.6,168.3,81.3,888.6,131.5
1000045,"Mar 16, 2024, 12:00:00 AM",River Trail Ride,Ride,4579,29231.0,4579,4361,29231.0,218.7,155.7,454.4,168.2,147.0,167.0,90.3,635.7,48.4
1000046,"Mar 18, 2024, 12:00:00 AM",River Trail Ride,Ride,7653,51098.4,7653,7289,51098.4,829.8,160.8,465.0,173.7,118.5,162.2,81.0,1111.3,168.9
1000047,"Mar 19, 2024, 12:00:00 AM",Zwift Watopia,Ride,10955,61528.3,10955,10433,61528.3,719.7,179.7,533.9,194.1,134.7,168.7,86.6,1338.1,164.4
1000048,"Mar 21, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,9678,65444.9,9678,9217,65444.9,468.9,149.2,580.3,161.2,137.1,178.8,83.4,1423.3,172.0
1000049,"Mar 22, 2024, 12:00:00 AM",Zwift Watopia,Ride,3547,25236.3,3547,3378,25236.3,320.0,187.1,734.2,202.1,152.8,157.7,82.3,548.8,72.6
1000050,"Mar 26, 2024, 12:00:00 AM",Zwift Watopia,Ride,9286,61426.1,9286,8844,61426.1,775.8,165.0,485.7,178.2,131.6,171.9,72.5,1335.9,162.0
1000051,"Mar 27, 2024, 12:00:00 AM",Hill Repeats,Ride,10517,79265.9,10517,10016,79265.9,1012.0,161.5,476.7,174.4,156.3,168.5,86.2,1723.9,151.5
1000052,"Mar 29, 2024, 12:00:00 AM",Zwift Watopia,Ride,4246,27390.7,4246,4044,27390.7,314.4,154.0,487.2,166.3,153.9,168.2,81.0,595.7,33.4
1000053,"Mar 30, 2024, 12:00:00 AM",Hill Repeats,Ride,8986,66978.1,8986,8558,66978.1,960.5,108.7,318.1,117.4,158.8,169.6,85.0,1456.6,95.0
1000054,"Apr 02, 2024, 12:00:00 AM",Coffee Shop Ride,Virtual Ride,6912,41714.1,6912,6583,41714.1,329.7,133.1,342.0,143.8,145.9,172.7,76.3,907.2,159.0
1000055,"Apr 06, 2024, 12:00:00 AM",Long Sunday Ride,Ride,3251,21978.7,3251,3096,21978.7,292.6,151.3,433.7,163.4,151.8,175.8,85.3,478.0,103.7
1000056,"Apr 08, 2024, 12:00:00 AM",Long Sunday Ride,Ride,9699,69585.8,9699,9237,69585.8,361.9,169.3,627.3,182.8,154.4,186.5,84.3,1513.4,119.2
1000057,"Apr 13, 2024, 12:00:00 AM",Recovery Spin,Ride,17880,116648.7,17880,17028,116648.7,1263.2,170.0,667.1,183.5,138.1,161.2,91.2,2536.9,32.4
1000058,"Apr 23, 2024, 12:00:00 AM",Recovery Spin,Ride,1524,10508.2,1524,1452,10508.2,146.5,158.3,452.7,171.0,129.2,175.9,77.1,228.5,169.2
1000059,"Apr 26, 2024, 12:00:00 AM",Hill Repeats,Ride,10921,81212.8,10921,10401,81212.8,394.4,174.9,619.2,188.9,134.4,158.3,93.1,1766.2,175.2
1000060,"Apr 28, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,6091,40750.5,6091,5801,40750.5,379.0,157.0,484.2,169.6,120.9,167.2,85.0,886.2,143.0
1000061,"May 01, 2024, 12:00:00 AM",Zwift Watopia,Ride,5366,36281.4,5366,5111,36281.4,366.9,142.6,440.0,154.0,147.5,163.5,84.1,789.0,172.6
1000062,"May 09, 2024, 12:00:00 AM",Long Sunday Ride,Ride,2459,15650.4,2459,2342,15650.4,198.1,162.8,612.4,175.9,121.6,182.2,87.0,340.4,103.2
1000063,"May 16, 2024, 12:00:00 AM",Gravel Grind,Ride,3155,23291.0,3155,3005,23291.0,144.3,176.2,496.3,190.2,140.8,188.5,95.5,506.5,160.3
1000064,"May 22, 2024, 12:00:00 AM",Zwift Watopia,Ride,22557,125781.1,22557,21483,125781.1,1376.0,165.8,431.7,179.1,156.4,164.3,89.1,2735.5,41.8
1000065,"May 24, 2024, 12:00:00 AM",Hill Repeats,Ride,16104,97614.0,16104,15337,97614.0,1455.8,174.2,559.3,188.2,118.9,162.5,72.8,2122.9,164.7
1000066,"May 25, 2024, 12:00:00 AM",Zwift Watopia,Virtual Ride,6013,39236.5,6013,5727,39236.5,281.9,109.7,374.2,118.5,159.5,161.0,74.8,853.3,93.5
1000067,"May 27, 2024, 12:00:00 AM",Morning Loop,Ride,4531,34388.4,4531,4315,34388.4,179.5,111.9,376.3,120.8,138.9,161.6,89.0,747.9,32.1
1000068,"May 31, 2024, 12:00:00 AM",Gravel Grind,Ride,2560,18697.5,2560,2438,18697.5,131.0,163.2,555.1,176.3,139.2,179.6,79.1,406.6,50.8
1000069,"Jun 01, 2024, 12:00:00 AM",Long Sunday Ride,Ride,6328,45567.0,6328,6026,45567.0,382.4,142.9,372.1,154.4,130.5,171.1,78.8,991.0,53.0
1000070,"Jun 03, 2024, 12:00:00 AM",Zwift Watopia,Ride,5545,36478.9,5545,5281,36478.9,347.8,108.0,404.2,116.6,131.6,173.7,84.3,793.3,149.0
1000071,"Jun 08, 2024, 12:00:00 AM",Long Sunday Ride,Ride,4711,31475.0,4711,4487,31475.0,321.0,143.3,485.7,154.8,133.1,169.8,71.2,684.5,118.9
1000072,"Jun 09, 2024, 12:00:00 AM",Commute,Ride,3327,25038.7,3327,3169,25038.7,187.4,110.1,352.1,119.0,146.9,174.5,103.5,544.5,37.1
1000073,"Jun 12, 2024, 12:00:00 AM",Gravel Grind,Ride,10199,60403.0,10199,9714,60403.0,398.7,122.0,466.2,131.8,142.4,165.9,76.5,1313.6,23.2
1000074,"Jun 14, 2024, 12:00:00 AM",Long Sunday Ride,Ride,15872,119885.8,15872,15116,119885.8,590.2,141.3,514.0,152.6,127.0,185.5,90.3,2607.3,146.3
1000075,"Jun 19, 2024, 12:00:00 AM",Zwift Watopia,Ride,3079,21579.7,3079,2932,21579.7,169.3,154.5,509.2,166.8,158.3,176.3,78.8,469.3,65.4
1000076,"Jun 22, 2024, 12:00:00 AM",River Trail Ride,Ride,5236,32001.5,5236,4986,32001.5,227.9,173.2,515.0,187.1,162.9,160.8,88.4,696.0,36.3
1000077,"Jun 26, 2024, 12:00:00 AM",Recovery Spin,Ride,4506,27592.7,4506,4291,27592.7,320.2,142.4,565.4,153.8,132.9,165.1,85.3,600.1,85.7
1000078,"Jun 28, 2024, 12:00:00 AM",Hill Repeats,Ride,3586,22156.6,3586,3415,22156.6,291.9,150.2,595.1,162.2,129.1,167.4,89.5,481.9,47.3
1000079,"Jul 01, 2024, 12:00:00 AM",Gravel Grind,Ride,7006,46100.1,7006,6672,46100.1,708.0,159.3,503.5,172.1,120.0,176.3,81.0,1002.6,71.8
1000080,"Jul 02, 2024, 12:00:00 AM",River Trail Ride,Ride,16896,127371.0,16896,16092,127371.0,1289.2,166.6,435.1,179.9,120.5,172.4,86.6,2770.1,66.2
1000081,"Jul 04, 2024, 12:00:00 AM",Coffee Shop Ride,Virtual Ride,20593,138654.2,20593,19612,138654.2,1083.7,137.2,500.4,148.2,139.2,162.3,81.1,3015.5,73.9
1000082,"Jul 07, 2024, 12:00:00 AM",Long Sunday Ride,Ride,5588,36289.2,5588,5322,36289.2,350.5,175.6,602.5,189.6,133.1,178.7,78.2,789.2,141.6
1000083,"Jul 11, 2024, 12:00:00 AM",Hill Repeats,Ride,3406,23644.5,3406,3244,23644.5,138.8,204.3,558.8,220.7,146.9,170.4,87.2,514.2,170.1
1000084,"Jul 12, 2024, 12:00:00 AM",Gravel Grind,Ride,3882,25370.9,3882,3697,25370.9,107.1,157.4,559.6,170.0,138.1,181.3,86.5,551.8,42.4
1000085,"Jul 13, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,3400,25511.4,3400,3238,25511.4,363.1,167.5,555.6,180.9,144.7,168.6,86.7,554.8,77.4
1000086,"Jul 17, 2024, 12:00:00 AM",Gravel Grind,Ride,14429,89313.0,14429,13742,89313.0,1225.1,180.0,576.4,194.4,135.1,155.7,79.0,1942.4,94.0
1000087,"Jul 18, 2024, 12:00:00 AM",Commute,Virtual Ride,9588,58626.0,9588,9131,58626.0,641.8,139.1,356.1,150.2,143.9,170.2,90.0,1275.0,165.0
1000088,"Jul 19, 2024, 12:00:00 AM",Morning Loop,Ride,1357,8239.3,1357,1293,8239.3,41.2,126.4,443.6,136.6,153.7,174.7,82.5,179.2,119.2
1000089,"Jul 20, 2024, 12:00:00 AM",Commute,Ride,18922,135194.1,18922,18021,135194.1,1355.4,159.7,442.7,172.5,143.0,168.3,79.9,2940.2,59.8
1000090,"Jul 21, 2024, 12:00:00 AM",Zwift Watopia,Ride,10833,71300.6,10833,10317,71300.6,356.3,164.2,489.4,177.3,152.5,167.9,83.4,1550.6,147.6
1000091,"Jul 22, 2024, 12:00:00 AM",Long Sunday Ride,Ride,3153,20216.6,3153,3003,20216.6,209.4,171.3,569.6,185.0,128.9,179.0,93.1,439.7,131.0
1000092,"Jul 23, 2024, 12:00:00 AM",Long Sunday Ride,Ride,2087,12988.8,2087,1987,12988.8,216.3,161.8,604.8,174.8,118.7,184.0,88.9,282.5,44.5
1000093,"Jul 24, 2024, 12:00:00 AM",Recovery Spin,Ride,5275,34387.7,5275,5024,34387.7,155.0,205.2,745.7,221.6,141.6,172.9,89.4,747.9,131.5
1000094,"Jul 27, 2024, 12:00:00 AM",Commute,Virtual Ride,5269,39568.6,5269,5018,39568.6,379.7,165.2,654.2,178.4,162.6,182.8,94.6,860.5,169.5
1000095,"Jul 28, 2024, 12:00:00 AM",Recovery Spin,Ride,4558,26769.4,4558,4341,26769.4,296.9,136.6,387.6,147.6,138.5,172.4,91.6,582.2,114.6
1000096,"Jul 30, 2024, 12:00:00 AM",Gravel Grind,Ride,3703,25607.1,3703,3527,25607.1,149.3,153.8,447.7,166.1,127.9,158.8,89.9,556.9,75.4
1000097,"Aug 02, 2024, 12:00:00 AM",Recovery Spin,Ride,5790,36778.6,5790,5514,36778.6,588.8,149.9,405.5,161.9,160.0,169.9,76.0,799.9,42.5
1000098,"Aug 03, 2024, 12:00:00 AM",Recovery Spin,Ride,4798,35282.7,4798,4569,35282.7,292.6,130.3,326.2,140.7,137.2,177.6,96.1,767.3,22.1
1000099,"Aug 06, 2024, 12:00:00 AM",Commute,Ride,8213,60587.7,8213,7822,60587.7,588.2,151.4,503.9,163.5,126.7,192.6,85.4,1317.7,30.7
1000100,"Aug 07, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,3668,22817.9,3668,3493,22817.9,143.5,170.3,485.5,183.9,133.1,167.6,84.8,496.2,110.4
1000101,"Aug 09, 2024, 12:00:00 AM",Long Sunday Ride,Ride,3734,26278.2,3734,3556,26278.2,382.2,151.8,560.0,164.0,158.0,150.8,91.5,571.5,84.1
1000102,"Aug 10, 2024, 12:00:00 AM",Zwift Watopia,Ride,2344,17791.1,2344,2232,17791.1,97.2,161.0,613.7,173.9,123.1,165.8,78.3,386.9,24.1
1000103,"Aug 11, 2024, 12:00:00 AM",Long Sunday Ride,Ride,12092,78692.7,12092,11516,78692.7,1051.8,175.7,694.9,189.8,155.3,177.8,78.2,1711.4,23.2
1000104,"Aug 12, 2024, 12:00:00 AM",Long Sunday Ride,Ride,6109,37262.9,6109,5818,37262.9,449.0,154.4,583.4,166.8,125.3,177.7,83.6,810.4,135.6
1000105,"Aug 15, 2024, 12:00:00 AM",Recovery Spin,Virtual Ride,4093,28917.5,4093,3898,28917.5,400.7,149.9,390.2,161.9,153.9,163.4,88.7,628.9,66.9
1000106,"Aug 16, 2024, 12:00:00 AM",Long Sunday Ride,Ride,1650,12636.1,1650,1571,12636.1,173.0,192.5,700.7,207.9,133.7,180.4,80.8,274.8,114.4
1000107,"Aug 18, 2024, 12:00:00 AM",Zwift Watopia,Ride,2466,15226.5,2466,2349,15226.5,63.5,131.6,387.1,142.2,161.1,155.3,95.2,331.1,67.1
1000108,"Aug 19, 2024, 12:00:00 AM",Hill Repeats,Virtual Ride,24791,165248.1,24791,23610,165248.1,1865.8,146.4,383.3,158.1,144.8,171.7,91.6,3593.8,163.1
1000109,"Aug 21, 2024, 12:00:00 AM",Commute,Ride,3952,29553.9,3952,3763,29553.9,168.0,184.3,587.8,199.0,143.7,158.3,76.9,642.7,42.3
1000110,"Aug 22, 2024, 12:00:00 AM",Recovery Spin,Virtual Ride,7816,51003.3,7816,7444,51003.3,387.7,157.8,499.0,170.4,144.2,167.7,80.3,1109.2,22.9
1000111,"Aug 23, 2024, 12:00:00 AM",Gravel Grind,Ride,1887,13013.7,1887,1797,13013.7,122.5,168.5,497.5,182.0,152.3,175.8,86.5,283.0,116.1
1000112,"Aug 26, 2024, 12:00:00 AM",Gravel Grind,Virtual Ride,9027,56860.9,9027,8597,56860.9,438.4,120.7,452.1,130.4,124.6,167.0,85.2,1236.6,46.6
1000113,"Aug 27, 2024, 12:00:00 AM",Morning Loop,Ride,20336,150009.4,20336,19368,150009.4,2116.1,161.3,583.6,174.2,130.9,167.1,76.6,3262.4,66.2
1000114,"Aug 31, 2024, 12:00:00 AM",Gravel Grind,Ride,11072,66447.9,11072,10545,66447.9,419.2,140.0,501.5,151.2,128.6,193.1,88.0,1445.1,137.2
1000115,"Sep 01, 2024, 12:00:00 AM",Morning Loop,Ride,5665,38934.3,5665,5395,38934.3,613.8,146.2,462.3,157.9,141.5,192.5,84.4,846.7,73.5
1000116,"Sep 02, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,5113,29284.9,5113,4870,29284.9,225.5,162.6,438.8,175.6,139.6,186.2,81.2,636.9,59.4
1000117,"Sep 03, 2024, 12:00:00 AM",Hill Repeats,Ride,12093,80602.9,12093,11517,80602.9,1281.5,170.5,637.0,184.1,151.7,177.0,75.6,1753.0,77.8
1000118,"Sep 04, 2024, 12:00:00 AM",River Trail Ride,Ride,2271,16184.7,2271,2163,16184.7,134.0,153.3,400.6,165.6,144.6,176.9,88.4,352.0,130.8
1000119,"Sep 06, 2024, 12:00:00 AM",Recovery Spin,Ride,8519,59384.6,8519,8113,59384.6,537.8,156.5,576.9,169.0,120.1,175.4,86.2,1291.5,48.9
1000120,"Sep 07, 2024, 12:00:00 AM",Gravel Grind,Ride,8119,52798.0,8119,7732,52798.0,671.0,160.6,599.7,173.5,127.0,180.4,84.8,1148.2,157.9
1000121,"Sep 09, 2024, 12:00:00 AM",Recovery Spin,Ride,8869,49560.5,8869,8446,49560.5,768.7,176.8,603.7,190.9,133.8,172.8,82.2,1077.8,56.8
1000122,"Sep 10, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,2976,19416.5,2976,2834,19416.5,254.0,183.6,471.4,198.3,137.8,168.5,93.7,422.3,71.0
1000123,"Sep 11, 2024, 12:00:00 AM",Recovery Spin,Virtual Ride,6773,39165.6,6773,6451,39165.6,270.3,163.4,519.7,176.5,150.7,172.7,91.4,851.8,170.3
1000124,"Sep 15, 2024, 12:00:00 AM",River Trail Ride,Ride,10774,63179.4,10774,10261,63179.4,586.8,144.5,494.7,156.1,167.6,169.1,82.3,1374.0,87.4
1000125,"Sep 17, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,11613,69650.9,11613,11060,69650.9,674.5,149.8,396.9,161.8,136.6,161.2,79.5,1514.8,67.4
1000126,"Sep 19, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,1641,10336.6,1641,1563,10336.6,93.7,134.1,526.3,144.9,151.8,170.3,84.7,224.8,118.1
1000127,"Sep 21, 2024, 12:00:00 AM",Morning Loop,Ride,7164,49406.1,7164,6823,49406.1,823.2,161.7,463.2,174.6,145.9,174.3,99.7,1074.5,56.9
1000128,"Sep 22, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,4695,26672.6,4695,4471,26672.6,371.6,146.4,544.5,158.1,132.4,181.5,93.5,580.1,131.4
1000129,"Sep 23, 2024, 12:00:00 AM",Gravel Grind,Ride,3585,25866.3,3585,3415,25866.3,302.4,147.3,400.3,159.1,147.6,173.6,75.9,562.5,114.9
1000130,"Sep 24, 2024, 12:00:00 AM",Morning Loop,Virtual Ride,3730,22032.9,3730,3552,22032.9,276.6,161.7,491.1,174.6,132.6,168.9,86.7,479.2,124.8
1000131,"Sep 27, 2024, 12:00:00 AM",River Trail Ride,Ride,7228,41956.7,7228,6883,41956.7,393.1,154.9,498.0,167.3,130.4,161.0,80.6,912.5,135.7
1000132,"Sep 29, 2024, 12:00:00 AM",Morning Loop,Ride,20049,132472.2,20049,19094,132472.2,2162.2,148.2,572.4,160.0,142.7,171.9,92.1,2881.0,96.9
1000133,"Oct 01, 2024, 12:00:00 AM",Long Sunday Ride,Ride,11194,62703.4,11194,10661,62703.4,1067.6,165.4,440.4,178.7,148.2,186.8,88.5,1363.7,147.6
1000134,"Oct 03, 2024, 12:00:00 AM",Hill Repeats,Ride,4689,29169.1,4689,4465,29169.1,167.9,175.0,603.8,189.0,146.1,180.5,92.0,634.4,119.0
1000135,"Oct 05, 2024, 12:00:00 AM",Long Sunday Ride,Virtual Ride,3707,24707.5,3707,3530,24707.5,242.2,168.3,597.8,181.7,138.0,173.2,92.2,537.3,45.7
1000136,"Oct 10, 2024, 12:00:00 AM",Commute,Ride,3711,22346.7,3711,3534,22346.7,185.1,159.3,572.8,172.1,155.3,173.5,85.3,486.0,121.1
1000137,"Oct 11, 2024, 12:00:00 AM",Commute,Virtual Ride,8431,51240.5,8431,8029,51240.5,841.9,131.8,493.9,142.3,136.3,173.8,86.5,1114.4,174.1
1000138,"Oct 12, 2024, 12:00:00 AM",Recovery Spin,Virtual Ride,17069,121319.2,17069,16256,121319.2,1765.2,190.4,749.1,205.6,147.3,173.5,82.3,2638.4,68.2
1000139,"Oct 15, 2024, 12:00:00 AM",Morning Loop,Ride,5189,39116.9,5189,4942,39116.9,367.5,161.5,549.3,174.5,131.6,181.6,75.9,850.7,27.3
1000140,"Oct 16, 2024, 12:00:00 AM",Coffee Shop Ride,Ride,7120,42636.3,7120,6781,42636.3,532.7,148.4,448.9,160.2,158.8,171.5,81.7,927.3,63.8
1000141,"Oct 18, 2024, 12:00:00 AM",Recovery Spin,Ride,2462,14813.6,2462,2345,14813.6,140.4,114.9,428.5,124.1,147.8,179.9,91.7,322.2,63.7
1000142,"Oct 21, 2024, 12:00:00 AM",Hill Repeats,Ride,8983,65586.0,8983,8555,65586.0,481.0,154.5,563.0,166.9,126.2,171.1,88.8,1426.4,122.2
1000143,"Oct 23, 2024, 12:00:00 AM",River Trail Ride,Virtual Ride,4125,24091.3,4125,3928,24091.3,301.2,154.2,531.9,166.5,144.2,162.0,93.7,523.9,158.3
1000144,"Oct 24, 2024, 12:00:00 AM",Zwift Watopia,Virtual Ride,7609,45598.9,7609,7246,45598.9,426.5,158.4,470.2,171.1,144.1,175.7,88.4,991.7,141.8
1000145,"Oct 25, 2024, 12:00:00 AM",Hill Repeats,Virtual Ride,6517,44345.6,6517,6207,44345.6,687.3,163.0,558.5,176.0,148.5,171.3,93.6,964.4,38.8
