Date,WorkoutName,WorkoutType,DurationMinutes,TSS,IF,AveragePower,NormalizedPower,AverageHeartRate,AverageCadence,FTP
2024-03-24,Baxter,VO2,46.9,68.9,0.94,205.6,215.9,154.6,92.4,219
2024-03-25,Carter,Sweet Spot,89.4,82.4,0.74,162.8,171.0,159.7,85.0,219
2024-03-31,Antelope,Endurance,56.6,50.0,0.73,160.2,168.2,142.7,93.0,220
2024-04-01,Antelope,VO2,86.1,71.5,0.71,155.3,163.0,140.3,91.2,220
2024-04-03,Warlow,Endurance,33.7,25.8,0.68,149.1,156.6,143.1,89.6,220
2024-04-08,Antelope,VO2,39.0,57.5,0.94,207.8,218.2,133.5,88.4,221
2024-04-09,Warlow,Threshold,44.8,46.8,0.79,174.9,183.6,115.1,94.0,221
2024-04-18,Petit,Sweet Spot,75.2,85.0,0.82,182.8,191.9,152.8,83.3,222
2024-04-19,Petit,Sweet Spot,54.1,75.6,0.92,203.2,213.4,162.5,93.7,222
2024-04-23,Carter,VO2,46.3,38.6,0.71,157.0,164.8,133.9,85.4,222
2024-04-24,Warlow,Threshold,55.8,75.2,0.9,199.6,209.6,134.4,89.8,222
2024-04-25,Mary Austin,Sweet Spot,61.9,55.9,0.74,163.5,171.7,139.3,78.4,222
2024-05-02,Antelope,VO2,65.8,66.7,0.78,174.0,182.7,144.3,92.6,223
2024-05-07,Carter,Endurance,50.6,63.9,0.87,194.9,204.6,146.1,90.7,224
2024-05-08,Petit,Threshold,79.3,88.8,0.82,183.7,192.9,147.0,91.7,224
2024-05-11,Carter,Endurance,54.0,50.3,0.75,167.6,175.9,147.9,87.4,224
2024-05-15,Antelope,VO2,64.6,67.1,0.79,176.8,185.6,145.9,95.6,224
2024-05-27,Carter,VO2,31.9,38.3,0.85,190.7,200.2,151.0,83.2,225
2024-05-31,Antelope,Threshold,40.4,45.3,0.82,185.4,194.7,145.8,89.7,226
2024-06-02,Baxter,Threshold,79.1,117.8,0.95,213.6,224.3,143.4,78.5,226
2024-06-07,Antelope,Threshold,33.0,24.4,0.67,150.5,158.0,136.4,85.9,226
2024-06-10,Carter,Endurance,43.6,50.6,0.83,189.4,198.8,163.9,90.4,227
2024-06-14,Warlow,VO2,51.6,69.1,0.9,203.6,213.8,129.5,87.5,227
2024-06-15,Baxter,Sweet Spot,51.0,49.0,0.76,172.2,180.9,158.3,85.1,227
2024-06-16,Mary Austin,Sweet Spot,42.5,32.3,0.68,153.3,161.0,155.4,80.4,227
2024-06-18,Mary Austin,Endurance,80.5,68.8,0.72,162.6,170.7,116.7,94.0,227
2024-06-22,Antelope,Sweet Spot,79.4,77.5,0.77,173.7,182.4,140.4,78.7,227
2024-06-29,Carter,Sweet Spot,86.0,67.3,0.69,156.3,164.1,141.1,89.0,228
2024-06-30,Antelope,VO2,61.9,44.9,0.66,150.4,158.0,149.5,75.6,228
2024-07-02,Warlow,Endurance,39.7,47.4,0.85,193.1,202.8,138.4,88.3,228
2024-07-07,Warlow,VO2,72.9,54.6,0.67,153.6,161.2,149.5,83.2,229
2024-07-09,Antelope,VO2,66.8,96.6,0.93,213.3,224.0,142.9,85.1,229
2024-07-11,Carter,Threshold,51.3,56.8,0.82,186.7,196.0,147.2,93.8,229
2024-07-12,Baxter,Endurance,78.9,91.3,0.83,190.9,200.4,141.6,81.1,229
2024-07-22,Petit,VO2,36.4,34.7,0.76,174.0,182.7,137.9,96.7,230
2024-07-23,Petit,Sweet Spot,69.5,52.2,0.67,154.3,162.1,136.4,82.0,230
2024-07-29,Baxter,VO2,39.4,53.0,0.9,206.6,216.9,141.0,87.5,230
2024-07-30,Antelope,Endurance,40.1,55.8,0.91,210.2,220.7,139.7,80.4,230
2024-08-03,Mary Austin,Sweet Spot,60.1,75.8,0.87,200.0,210.0,148.2,89.1,230
2024-08-14,Petit,Threshold,67.8,67.2,0.77,178.1,187.0,151.9,89.0,231
2024-08-17,Mary Austin,Threshold,70.6,71.4,0.78,179.8,188.8,161.3,91.9,231
2024-08-24,Antelope,Sweet Spot,38.8,52.3,0.9,208.8,219.2,150.5,94.0,232
2024-08-27,Carter,Threshold,55.9,54.3,0.76,177.2,186.0,146.4,87.1,232
2024-08-28,Antelope,Sweet Spot,80.7,85.0,0.8,184.5,193.7,148.1,78.2,232
2024-09-05,Baxter,VO2,64.4,60.0,0.75,173.4,182.1,146.4,87.5,232
2024-09-11,Carter,VO2,73.7,69.8,0.75,174.9,183.6,149.2,93.2,232
2024-09-12,Carter,Sweet Spot,86.8,85.8,0.77,178.7,187.6,150.8,84.5,232
2024-09-19,Carter,Threshold,89.4,64.5,0.66,153.3,160.9,153.6,96.2,233
2024-09-21,Carter,Threshold,71.3,55.9,0.69,159.9,167.9,155.7,81.5,233
2024-09-25,Warlow,Threshold,48.4,53.5,0.81,189.6,199.1,150.7,82.2,233
2024-09-26,Mary Austin,Threshold,40.3,40.3,0.78,180.7,189.7,142.2,89.9,233
2024-09-27,Petit,VO2,35.0,34.4,0.77,178.9,187.9,147.5,93.2,233
2024-10-01,Antelope,VO2,39.8,34.4,0.72,167.8,176.2,161.6,90.5,233
2024-10-02,Carter,VO2,85.6,85.9,0.78,180.8,189.8,141.4,78.5,233
2024-10-04,Carter,Threshold,31.7,36.0,0.82,192.2,201.8,158.2,87.6,233
2024-10-09,Mary Austin,Endurance,65.3,64.4,0.77,179.2,188.2,144.6,88.2,233
2024-10-11,Warlow,VO2,46.5,57.7,0.86,201.9,212.0,149.4,90.4,234
2024-10-16,Petit,Endurance,52.5,58.1,0.81,190.7,200.2,142.3,87.5,234
2024-10-17,Baxter,VO2,79.9,105.9,0.89,208.7,219.1,139.0,84.5,234
2024-10-18,Petit,Threshold,79.0,113.7,0.93,217.4,228.3,137.9,87.4,234
2024-10-21,Petit,Endurance,50.2,69.5,0.91,213.2,223.9,136.0,73.5,234
2024-10-26,Petit,Endurance,50.1,49.3,0.77,179.8,188.8,141.3,81.8,234
2024-10-27,Baxter,Threshold,64.3,85.2,0.89,208.6,219.1,146.1,85.0,234
2024-10-29,Antelope,Sweet Spot,39.0,34.6,0.73,170.9,179.5,149.6,82.2,234
2024-10-31,Petit,VO2,70.8,52.5,0.67,156.1,163.9,127.5,87.5,234
2024-11-10,Carter,Endurance,71.8,60.0,0.71,165.7,174.0,140.8,81.4,234
2024-11-12,Warlow,Threshold,83.2,117.0,0.92,215.0,225.7,152.8,83.0,234
2024-11-15,Antelope,VO2,54.7,47.5,0.72,169.0,177.4,137.5,92.9,234
2024-11-16,Antelope,VO2,70.4,94.5,0.9,210.0,220.5,150.2,82.5,234
2024-11-19,Warlow,Endurance,74.3,71.2,0.76,177.4,186.3,141.7,82.0,234
2024-11-20,Baxter,Threshold,34.9,52.2,0.95,221.8,232.9,153.9,92.5,234
2024-11-26,Carter,Sweet Spot,82.0,74.2,0.74,172.4,181.0,163.3,99.4,234
2024-11-30,Antelope,Threshold,54.7,55.2,0.78,182.1,191.2,138.8,91.6,234
2024-12-03,Antelope,Endurance,81.0,68.2,0.71,166.2,174.6,126.2,88.9,234
2024-12-06,Carter,Endurance,79.4,88.3,0.82,191.1,200.7,149.3,83.2,234
2024-12-07,Warlow,Endurance,75.9,66.7,0.73,169.9,178.4,138.2,92.5,234
2024-12-14,Petit,Sweet Spot,49.5,60.0,0.85,199.6,209.6,149.5,96.3,234
2024-12-15,Carter,Endurance,71.0,80.0,0.82,192.5,202.1,160.2,79.7,234
2024-12-16,Baxter,Sweet Spot,76.1,65.4,0.72,168.0,176.4,139.8,82.7,234
2024-12-18,Baxter,Endurance,67.5,86.0,0.87,204.5,214.8,152.6,89.4,234
2024-12-23,Antelope,VO2,81.0,59.4,0.66,155.3,163.0,135.1,83.8,234
2024-12-24,Carter,Endurance,58.7,84.4,0.93,217.3,228.2,157.5,85.9,234
2024-12-29,Carter,Endurance,30.8,23.4,0.67,157.8,165.7,124.7,82.6,234
2024-12-30,Carter,Endurance,62.9,51.7,0.7,164.4,172.6,164.1,93.0,234
2024-12-31,Mary Austin,VO2,87.9,64.8,0.67,155.6,163.4,132.5,88.9,234
2025-01-03,Antelope,Sweet Spot,63.8,68.1,0.8,187.2,196.6,154.4,79.7,234
2025-01-07,Petit,Endurance,85.0,84.5,0.77,180.6,189.7,155.6,90.2,234
2025-01-12,Warlow,Sweet Spot,47.6,51.7,0.81,189.0,198.4,137.7,91.0,234
2025-01-17,Mary Austin,Threshold,77.5,94.0,0.85,199.6,209.6,148.0,89.8,234
2025-01-24,Carter,Sweet Spot,47.7,33.7,0.65,152.2,159.8,146.5,83.6,234
2025-01-29,Antelope,VO2,69.7,82.0,0.84,196.6,206.4,137.9,86.8,234
2025-01-30,Carter,Threshold,73.7,68.6,0.75,174.8,183.6,145.5,91.3,234
2025-02-05,Mary Austin,Endurance,50.6,40.2,0.69,161.5,169.6,164.4,89.2,234
2025-02-11,Baxter,VO2,36.2,35.8,0.77,180.3,189.3,151.5,92.4,234
2025-02-17,Petit,Endurance,37.1,26.1,0.65,152.1,159.7,152.2,83.4,234
2025-02-20,Warlow,Sweet Spot,45.3,32.3,0.65,153.0,160.7,158.6,93.9,234
2025-02-24,Carter,VO2,87.5,97.9,0.82,191.0,200.5,146.3,83.7,233
2025-03-09,Baxter,VO2,62.9,61.2,0.76,178.0,186.9,145.3,80.2,233
2025-03-10,Antelope,Threshold,44.4,34.1,0.68,158.1,166.0,160.0,84.9,233
2025-03-12,Mary Austin,Endurance,40.6,60.6,0.95,220.5,231.5,142.1,95.1,233
2025-03-15,Mary Austin,Threshold,82.4,123.6,0.95,221.0,232.1,120.1,94.4,233
2025-03-16,Warlow,VO2,49.6,45.5,0.74,172.8,181.5,148.4,96.4,233
2025-03-17,Petit,Endurance,70.9,65.5,0.74,173.5,182.2,135.5,89.7,233
2025-03-19,Carter,VO2,37.7,42.6,0.82,191.9,201.5,135.6,93.5,233
2025-03-20,Antelope,Threshold,75.2,104.2,0.91,212.5,223.1,155.6,96.8,233
2025-03-22,Antelope,Threshold,67.2,55.8,0.71,164.5,172.7,145.0,98.4,233
2025-03-24,Petit,Threshold,81.0,67.8,0.71,165.2,173.4,134.9,87.7,233
2025-03-28,Baxter,Endurance,65.1,71.6,0.81,188.5,197.9,135.2,89.0,232
2025-04-01,Warlow,VO2,62.7,54.2,0.72,167.1,175.4,136.0,93.5,232
2025-04-10,Petit,Threshold,32.5,34.6,0.8,185.5,194.7,149.8,82.5,232
2025-04-11,Warlow,Endurance,48.5,56.2,0.83,193.5,203.2,153.3,95.9,232
2025-04-13,Mary Austin,Endurance,51.9,61.4,0.84,195.4,205.2,150.7,81.2,232
2025-04-17,Carter,Endurance,72.1,80.2,0.82,189.5,199.0,143.5,91.5,232
2025-04-19,Antelope,Threshold,31.3,28.9,0.74,172.8,181.4,142.6,82.9,232
2025-04-21,Mary Austin,VO2,70.5,69.5,0.77,177.6,186.5,157.3,86.6,231
2025-04-22,Mary Austin,Threshold,54.7,79.0,0.93,214.9,225.7,160.9,85.4,231
2025-04-23,Carter,VO2,65.1,96.0,0.94,217.3,228.2,141.6,85.0,231
2025-04-26,Antelope,VO2,50.4,54.0,0.8,185.2,194.5,143.3,90.3,231
2025-05-08,Antelope,Threshold,89.9,92.4,0.79,181.5,190.5,135.2,82.2,231
2025-05-10,Warlow,Endurance,36.9,51.5,0.91,211.4,221.9,128.1,79.0,231
2025-05-11,Antelope,VO2,69.6,71.0,0.78,180.8,189.8,131.4,85.4,231
2025-05-18,Mary Austin,Endurance,78.8,114.2,0.93,214.4,225.1,146.8,90.0,230
2025-05-20,Antelope,VO2,39.1,41.0,0.79,182.4,191.6,146.3,95.3,230
2025-05-21,Mary Austin,VO2,54.1,50.9,0.75,172.8,181.5,163.1,86.6,230
2025-05-31,Mary Austin,Endurance,39.8,50.2,0.87,200.2,210.2,135.4,98.8,230
2025-06-03,Carter,VO2,82.3,92.9,0.82,188.5,197.9,156.9,93.5,229
2025-06-13,Mary Austin,Threshold,62.4,47.2,0.67,154.3,162.0,139.4,92.3,229
2025-06-25,Baxter,Threshold,53.8,48.9,0.74,168.5,176.9,146.4,87.6,228
2025-06-30,Petit,Endurance,56.0,64.1,0.83,188.9,198.4,144.2,90.5,228
2025-07-01,Baxter,Endurance,79.7,60.4,0.67,153.7,161.4,159.9,99.4,228
2025-07-03,Warlow,Sweet Spot,79.7,104.1,0.89,201.8,211.9,141.0,89.0,228
2025-07-04,Carter,Threshold,37.5,52.0,0.91,208.1,218.5,144.0,90.2,228
2025-07-05,Warlow,VO2,64.8,93.6,0.93,212.2,222.8,119.7,86.9,228
2025-07-06,Antelope,VO2,78.6,114.5,0.94,213.2,223.9,165.5,84.6,228
2025-07-08,Carter,Threshold,56.4,66.8,0.84,192.2,201.9,141.0,85.2,228
2025-07-09,Antelope,VO2,66.0,93.2,0.92,209.9,220.4,143.5,81.5,228
2025-07-15,Warlow,Threshold,56.6,41.6,0.66,150.8,158.4,139.7,90.1,227
2025-07-18,Carter,Endurance,65.3,62.2,0.76,171.6,180.2,149.2,89.3,227
2025-07-30,Mary Austin,Sweet Spot,79.6,93.4,0.84,189.7,199.2,158.8,90.3,226
2025-07-31,Petit,VO2,54.8,80.3,0.94,211.8,222.4,158.5,99.4,226
2025-08-01,Carter,Sweet Spot,43.2,50.6,0.84,189.3,198.8,153.9,81.6,226
2025-08-05,Warlow,VO2,33.6,38.7,0.83,187.9,197.3,147.9,88.7,226
2025-08-09,Carter,Endurance,43.6,52.5,0.85,192.1,201.7,160.9,87.4,226
2025-08-11,Antelope,Endurance,39.8,33.0,0.71,159.4,167.4,137.0,85.6,226
2025-08-13,Baxter,Endurance,33.1,32.6,0.77,173.9,182.6,132.4,73.4,226
2025-08-19,Antelope,VO2,53.0,71.8,0.9,202.9,213.0,165.5,88.1,225
2025-08-22,Mary Austin,Sweet Spot,33.7,25.3,0.67,151.1,158.6,133.3,96.5,225
2025-08-25,Carter,Endurance,82.7,92.1,0.82,183.9,193.1,164.0,88.9,225
2025-08-26,Baxter,Threshold,68.7,50.5,0.66,149.3,156.8,131.6,85.7,225
2025-08-27,Carter,Sweet Spot,40.2,31.7,0.69,154.8,162.6,142.8,88.3,225
2025-08-28,Baxter,VO2,44.8,42.8,0.76,170.4,178.9,134.4,92.9,225
2025-08-29,Antelope,Endurance,34.6,24.5,0.65,146.5,153.9,123.9,93.8,225
2025-08-31,Petit,Sweet Spot,54.6,57.8,0.8,179.3,188.3,158.9,86.2,225
2025-09-11,Warlow,Sweet Spot,50.1,41.3,0.7,157.5,165.4,144.4,95.7,224
2025-09-13,Mary Austin,Endurance,48.9,48.1,0.77,172.0,180.6,151.6,86.4,224
2025-09-15,Antelope,Threshold,40.7,53.7,0.89,199.2,209.2,142.9,90.6,224
2025-09-18,Baxter,Threshold,58.5,83.7,0.93,207.6,218.0,164.4,87.1,224
2025-09-28,Carter,Sweet Spot,51.0,66.5,0.88,197.3,207.2,141.4,88.2,223
2025-09-29,Antelope,VO2,43.5,42.9,0.77,171.7,180.2,145.5,89.6,223
2025-09-30,Baxter,Threshold,40.9,53.9,0.89,198.4,208.3,144.4,94.1,223
2025-10-02,Warlow,VO2,55.2,62.4,0.82,183.6,192.8,136.2,90.2,223
2025-10-03,Mary Austin,Sweet Spot,82.0,61.0,0.67,148.9,156.4,149.8,84.0,223
2025-10-05,Baxter,Endurance,54.9,60.8,0.81,181.7,190.7,149.2,90.5,223
2025-10-07,Baxter,Threshold,89.8,71.4,0.69,154.0,161.7,120.1,83.2,223
2025-10-08,Baxter,VO2,38.0,30.8,0.7,155.6,163.3,161.3,85.1,223
2025-10-12,Antelope,Threshold,70.2,73.9,0.8,177.3,186.2,133.3,78.8,223
2025-10-15,Petit,VO2,65.6,74.0,0.82,183.5,192.6,134.5,87.5,223
2025-10-21,Antelope,Endurance,63.2,71.0,0.82,182.3,191.4,132.6,91.4,222
2025-10-23,Baxter,Endurance,31.5,30.1,0.76,167.9,176.3,136.9,89.7,222
2025-11-04,Carter,Threshold,45.7,56.1,0.86,190.6,200.1,159.5,94.9,222
2025-11-17,Carter,Endurance,74.1,85.7,0.83,184.1,193.3,148.1,82.4,221
2025-11-18,Antelope,Endurance,45.7,45.8,0.78,171.4,180.0,144.6,89.7,221
2025-11-20,Mary Austin,VO2,47.3,33.5,0.65,144.1,151.3,170.1,78.8,221
2025-11-23,Antelope,Sweet Spot,74.1,53.3,0.66,145.2,152.5,144.7,91.2,221
2025-11-24,Petit,Threshold,40.5,42.2,0.79,174.9,183.7,146.2,89.2,221
2025-11-26,Warlow,Threshold,63.0,62.6,0.77,170.7,179.2,137.4,92.8,221
2025-11-27,Carter,Endurance,41.8,30.0,0.66,145.1,152.4,145.5,89.1,221
2025-12-01,Mary Austin,Threshold,83.4,95.6,0.83,183.2,192.4,155.7,86.5,221
2025-12-03,Petit,Endurance,75.0,106.7,0.92,204.2,214.4,158.1,81.6,221
2025-12-13,Carter,VO2,46.1,38.7,0.71,156.1,163.9,147.9,83.9,220
2025-12-17,Petit,Sweet Spot,63.3,72.1,0.83,181.8,190.9,134.3,97.6,220
2025-12-18,Petit,Endurance,34.9,26.6,0.68,148.8,156.2,132.8,88.4,220
2025-12-19,Carter,Threshold,42.8,38.6,0.73,161.7,169.8,132.1,94.2,220
2025-12-30,Petit,Endurance,30.8,36.7,0.84,185.9,195.2,141.0,93.3,220
2026-01-13,Carter,Threshold,86.0,61.7,0.66,144.3,151.5,151.0,99.5,220
2026-01-20,Baxter,VO2,69.8,84.8,0.85,187.8,197.2,130.2,83.1,220
2026-01-26,Mary Austin,Sweet Spot,82.8,61.0,0.66,146.2,153.6,155.1,89.7,220
2026-02-03,Warlow,VO2,45.4,38.8,0.72,157.6,165.4,142.7,98.2,220
2026-02-04,Mary Austin,VO2,44.3,56.9,0.88,193.0,202.7,145.0,84.1,220
2026-02-06,Mary Austin,VO2,54.6,46.3,0.71,156.8,164.7,155.8,88.2,220
2026-02-07,Warlow,Threshold,86.1,78.8,0.74,163.0,171.2,146.1,91.5,220
2026-02-11,Antelope,Sweet Spot,71.5,105.2,0.94,205.8,216.1,152.3,83.1,219
2026-02-16,Baxter,VO2,70.3,88.4,0.87,190.3,199.8,142.2,81.1,219
2026-02-22,Antelope,Sweet Spot,60.3,55.5,0.74,162.9,171.0,148.5,97.5,219
2026-02-25,Carter,Sweet Spot,74.7,64.5,0.72,157.6,165.5,135.5,80.3,219
2026-03-02,Antelope,Endurance,41.9,54.7,0.89,193.8,203.5,138.7,86.8,219
2026-03-06,Warlow,VO2,75.1,105.7,0.92,202.2,212.3,152.4,86.3,220
2026-03-08,Mary Austin,Sweet Spot,87.4,84.8,0.76,167.9,176.3,148.7,85.5,220
2026-03-12,Warlow,Endurance,59.2,46.0,0.68,150.2,157.7,143.2,83.9,220
2026-03-14,Petit,Endurance,78.5,109.0,0.91,200.8,210.8,133.9,91.9,220
2026-03-18,Carter,Threshold,81.4,105.0,0.88,193.5,203.1,140.7,90.2,220
2026-03-19,Mary Austin,Endurance,86.7,105.6,0.85,188.0,197.5,136.7,88.0,220
2026-03-22,Antelope,Endurance,68.7,73.9,0.8,176.7,185.5,124.1,86.2,220
2026-03-27,Mary Austin,Threshold,78.1,107.5,0.91,199.9,209.8,137.7,94.0,220
2026-04-01,Baxter,Threshold,75.1,100.0,0.89,196.6,206.4,132.4,87.3,220
2026-04-02,Mary Austin,Threshold,81.5,64.6,0.69,151.7,159.3,148.4,93.1,220
2026-04-05,Baxter,Threshold,70.7,62.0,0.73,159.7,167.6,153.7,87.7,220
2026-04-10,Antelope,Sweet Spot,33.2,41.4,0.87,190.4,199.9,145.7,94.0,220
2026-04-15,Carter,VO2,53.0,43.3,0.7,154.1,161.8,144.2,88.9,220
2026-04-24,Baxter,VO2,41.4,51.7,0.87,190.5,200.1,157.3,100.4,220
2026-04-25,Antelope,VO2,57.7,77.6,0.9,197.7,207.6,147.6,90.7,220
2026-04-26,Antelope,Sweet Spot,36.3,49.2,0.9,198.4,208.3,153.4,94.1,220
2026-04-27,Antelope,VO2,51.8,72.1,0.91,201.0,211.1,155.6,85.1,220
2026-05-01,Mary Austin,Endurance,54.5,76.2,0.92,202.4,212.5,148.3,93.3,221
2026-05-02,Warlow,Sweet Spot,46.2,40.5,0.72,160.1,168.2,159.5,87.3,221
2026-05-06,Petit,Endurance,76.5,75.2,0.77,169.7,178.2,148.1,90.1,221
2026-05-09,Carter,VO2,52.1,49.8,0.76,167.3,175.7,145.4,89.4,221
2026-05-12,Mary Austin,VO2,56.4,78.6,0.91,202.0,212.1,123.7,104.2,221
2026-05-17,Baxter,VO2,38.3,57.0,0.94,208.8,219.2,168.1,87.1,221
2026-05-21,Carter,VO2,69.8,79.9,0.83,183.1,192.3,143.9,79.8,221
2026-05-22,Mary Austin,Endurance,77.1,64.5,0.71,156.6,164.5,127.1,90.5,221
2026-05-24,Warlow,Threshold,55.1,57.0,0.79,174.0,182.7,155.7,92.3,221
2026-05-31,Antelope,Threshold,60.8,56.4,0.75,165.7,174.0,136.7,92.0,222
2026-06-03,Petit,VO2,50.7,37.5,0.67,147.9,155.3,143.8,86.1,222
2026-06-12,Baxter,Sweet Spot,43.2,30.4,0.65,144.3,151.5,131.5,84.4,222
2026-06-13,Petit,Sweet Spot,37.2,27.9,0.67,148.8,156.2,150.2,89.6,222
2026-06-22,Petit,Sweet Spot,55.8,43.8,0.69,152.9,160.6,146.7,77.1,223
2026-06-23,Baxter,VO2,52.5,61.2,0.84,186.5,195.8,146.8,85.1,223
2026-06-27,Baxter,VO2,32.1,48.2,0.95,211.5,222.0,148.3,94.3,223
2026-06-28,Warlow,Threshold,50.5,51.6,0.78,174.7,183.4,140.5,88.5,223
2026-07-05,Petit,Threshold,81.7,112.7,0.91,203.8,214.0,165.4,89.4,224
2026-07-06,Baxter,VO2,59.0,88.0,0.95,211.9,222.5,144.8,83.9,224
